"%1$s incl tax.","%1$s incl. impuestos."
"Sort By","Ordenar por"
"Sort Order","Ordenación"
"Source Model","Modelo de origen"
"Special Expires On: %s","Especial expira en: %s"
"Special Price","Precio especial"
"Special Price:","Precio especial:"
"Special Price: %s","Precio especial: %"
"Special Price From Date","Precio especial a partir de"
"Special Price To Date","Precio especial hasta"
"Send Invitationes","Enviar invitaciones"
"Starting at:","Inicio:"
"Static","Estático"
"Static block and products","Bloque y artículos estáticos"
"Static block only","Solo bloque estático"
"Status","Estatus"
"Stock Availability","Disponibilidad de inventario"
"Store","Tienda"
"Store View","Vista de tienda"
"Stretch","Flexibilidad"
"Subscribe to RSS Feed","Suscribirse a las noticias por RSS"
"Super product attributes configuration","Configuración de atributos de artículo superior"
"Synonym For","Sinónimo para"
"System Properties","Propiedades del sistema"
"Tag Name","Nombre de la etiqueta"
"Tax","Impuestos"
"Template","Plantilla"
"Text","Texto"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","El módulo de Catálogo de Planos tiene un límite de %2\$d atributos filtrables y ordenables. Actualmente hay %1\$d de ellos. Por favor, reduce el número de atributos filtrables/ordenables para poder usar este módulo"
"The From Date value should be less than or equal to the To Date value.","El valor ""Desde la fecha"" debe ser inferior o igual al valor ""Hasta la fecha""."
"The attribute code \'%s\' is reserved by system. Please try another attribute code","El código de atributo \'%s\' está reservado por el sistema. Por favor, prueba con otro código de atributo"
"The attribute model is not defined","El modelo de atributo no está definido"
"The attribute set has been saved.","Se ha guardado el conjunto de atributos."
"The base directory to upload file is not specified.","El directorio base para cargar el archivo no ha sido especificado."
"The category has been deleted.","Se eliminó la categoría."
"The category has been saved.","Se ha guardado la categoría."
"The comparison list was cleared.","Se borró la lista de comparación."
"The file '%s' for '%s' has an invalid extension","El archivo '%s' para '%s' tiene una extensión no válida"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","El archivo '%s' subido es mayor que los '%s' Megabytes permitidos por el servidor"
"The file you uploaded is larger than %s Megabytes allowed by server","El archivo que has subido es más grande de % Megabytes admitidos por el servidor."
"The filters must be an array.","Los filtros deben ser una disposición."
"The image contents is not valid base64 data.","El contenido de la imagen no es un dato base64 válido."
"The image is not specified.","No se especificó la imagen."
"The model collection resource name is not defined.","El nombre del recurso de la colección de modelos no está definido."
"The product %s has been added to comparison list.","Se agregó el artículo %s a la lista de comparación."
"The product %s has been removed from comparison list.","Se eliminó el artículo %s de la lista de comparación."
"The product attribute has been deleted.","Se eliminó el atributo de artículo."
"The product attribute has been saved.","Se guardó el atributo de artículo."
"The product has been created.","Se creó el artículo."
"The product has been deleted.","Se eliminó el artículo."
"The product has been duplicated.","Se duplicó el artículo."
"The product has been saved.","Se ha guardado el artículo."
"The product has required options","El artículo tiene opciones obligatorias"
"The review has been deleted","Se eliminó la reseña"
"The review has been saved.","Se guardó la reseña."
"The review was removed by another user or does not exist.","La reseña no existe o fue eliminada por otro usuario."
"The search was deleted.","Se eliminó la búsqueda."
"The text is too long","El texto es demasiado largo."
"There are no %s available.","No hay %s disponibles."
"There are no customers for this alert","No hay clientes para esta alerta"
"There are no customers for this alert.","No hay clientes para esta alerta."
"There are no products matching the selection.","No hay ningún artículo que se ajuste a su selección."
"There was an error while request processing.","Ocurrió un error al procesar la petición."
"This Attribute no longer exists","Este atributo ya no existe."
"This attribute cannot be deleted.","No puede eliminarse este atributo."
"This attribute cannot be edited.","No se puede editar este atributo."
"This attribute cannot be updated.","No puede actualizarse este atributo."
"This attribute is used in configurable products.","Este atributo se utiliza en artículos configurables."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo se utiliza en artículos configurables. No es posible eliminarlo del conjunto de atributos."
"This attribute no longer exists","Este atributo ya no existe."
"This attribute set no longer exists.","Este conjunto de atributos ya no existe."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contiene atributos utilizados en artículos configurables. Páselos a otro grupo y vuelva a intentarlo."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contiene atributos del sistema. Pase los atributos del sistema a otro grupo y vuelva a intentarlo."
"This is a required option","Esta es una opción obligatoria"
"This product no longer exists.","Este artículo ya no existe."
"This search no longer exists.","Esta búsqueda ya no existe."
"This setting will be applied when all prices in the specific price interval are equal.","Esta configuración se aplicará cuando todos los precios en el intervalo de precios específicos sean iguales."
"Tier Price","Precio escalonado"
"Tier Pricing","Precio de nivel"
"Tile","Mosaico"
"Time Format","Formato de hora"
"Title","Título"
"To reindex the enabled product(s), the store or product must be specified","Para reindexar el artículo(s) activado(s), se ha de especificar la tienda o el artículo"
"To see product price, add this item to your cart. You can always remove it later.","Para ver el precio del artículo añade este artículo al carrito. Siempre puedes eliminarlo posteriormente."
"Top/Left","Superior/izquierda"
"Top/Right","Arriba/Derecha"
"Total Qty Base Items","Cant. total de artículos básicos"
"Total Qty Content Items","Cantidad total de artículos contenidos"
"Total incl. Tax: %1$s","Total con impuestos inculido: %1$"
"Total of %d record(s) have been deleted.","Total de % registrado se ha eliminado."
"Total of %d record(s) have been updated.","Se actualizó un total de %d registro(s)."
"Total of %d record(s) were updated","Se han actualizado un total de %d registro(s)"
"Type","Tipo"
"URL Rewrite Management","Gestión de reescritura de URL"
"Unable to complete this request.","No se puede completar esta solicitud."
"Unable to find a search term to delete.","No se puede encontrar un término de búsqueda para eliminar."
"Unable to find an attribute to delete.","No se puede encontrar un atributo para eliminar."
"Unable to get the product ID.","No ha sido posible obtener el ID de artículo."
"Unassigned Attributes","Atributos sin asignar"
"Unknown EAV indexer type ""%s"".","Tipo de indexador EAV desconocido ""%s""."
"Unknown attribute: %s.","Atributo desconocido: %s."
"Unsupported product type ""%s"".","Tipo de artículo no compatible ""%s""."
"Up-sells","Ventas ampliadas"
"Update","Actualización"
"Update Attributes","Actualizar atributos"
"Update Tier Price","Actualizar precio de capa"
"Update assigned product","Actualizar artículo asignado"
"Update attribute","Actualizar atributo"
"Update attributes","Actualizar atributos"
"Update category","Actualizar categoría"
"Update custom option of product","Actualizar opción personalizada del artículo"
"Update product","Actualizar artículo"
"Update product image","Actualizar imagen del artículo"
"Update product link","Actualizar enlace del artículo"
"Update product tier prices","Actualizar precios de capa de artículos"
"Update value of custom option","Actualizar valor de la opción personalizada"
"Upload new product image ","Cargar nueva imagen del artículo"
"Use Canonical Link Meta Tag For Categories","Utilizar metaetiqueta de enlace canónico para categorías"
"Use Canonical Link Meta Tag For Products","Utilizar meta-etiqueta de enlace canónico para los artículos"
"Use Categories Path for Product URLs","Utilizar ruta de categorías para direcciones URL de artículos"
"Use Config Settings","Usar opciones de configuración"
"Use Default Value","Usar valor por defecto"
"Use Flat Catalog Category","Utilizar categoría de catálogo plano"
"Use Flat Catalog Product","Utilizar artículo de catálogo plano"
"Use In Layered Navigation","Utilizar en navegación por capas"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usar en la navegacion por capas<br/>(Puede ser usado solo con el tipo de entrada del catálogo de menú 'Desplegable')"
"Use In Search Results Layered Navigation","Utilizar en la navegación por capas de los resultados de búsqueda"
"Use JavaScript Calendar","Utilizar calendario de JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utilizar URL estáticas para contenido multimedia en WYSIWYG para el catálogo"
"Use To Create Configurable Product","Utilizar para crear artículo configurable"
"Use Tree Like Category Sitemap","Utilizar mapa de sitio con categorías jerárquicas"
"Use categories path for product URLs","Usar rutas de categorías para la URL de los artículos"
"Use config","Usar configuración"
"Use default","Uso por defecto"
"Use for Promo Rule Conditions","Utilizar para condiciones de reglas de promoción"
"Use four-digit year format.","Utilizar formato de año de cuatro dígitos."
"Use in Advanced Search","Utilizar en búsqueda avanzada"
"Use in Layered Navigation","Usar en navegación por capas"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Utilizar en navegación por capas<br/>(Puede utilizarse sólo con el tipo de entrada de catálogo 'Lista desplegable')"
"Use in Quick Search","Utilizar en búsqueda rápida"
"Used for Sorting in Product Listing","Se utiliza para ordenar las listas de artículos"
"Used in Product Listing","Se utiliza en las listas de artículos"
"Value for ""%s"" is invalid.","El valor para ""%s"" es inválido."
"Value for ""%s"" is invalid: %s","Valor para ""%"" no es válido: %"
"Varchar","Varchar"
"View Details","Ver detalles"
"View as","Ver como"
"Virtual Product","Artículos virtuales"
"Visibility","Visibilidad"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible en páginas de catálogo en la parte pública"
"Visible on Product View Page on Front-end","Visible en página de artículo en la parte pública"
"WYSIWYG Editor","Editor WYSIWYG"
"Watermark","Marca de agua"
"Watermark Default Size","Tamaño de la marca de agua (predeterminado)"
"Watermark Opacity, Percent","Opacidad de la marca de agua, porcentaje"
"Watermark Position","Posición de la marca de agua"
"We Also Recommend","También recomendamos"
"Website","Sitio web"
"Website Item Must be checked","Sitio web debe seleccionarse"
"Website Store Must be checked","Tienda debe seleccionarse"
"Websites","Páginas web"
"What's this?","¿Qué es esto?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Preguntar si mostrar ""Todas"" las opciones en el desplegable ""Mostrar X por página""."
"Will make search for the query above return results for this search.","Realizar la búsqueda para la consulta anterior devuelve resultados para esta búsqueda."
"Wrong BuyRequest instance in options group.","Instancia incorrecta de BuyRequest en el grupo de opciones."
"Wrong configuration item instance in options group.","Configuración de ejemplo de artículo incorrecta en el grupo de opciones."
"Wrong configuration item option instance in options group.","Configuración de ejemplo de opción de artículo incorrecta en el grupo de opciones."
"Wrong option instance type in options group.","Instancia de opción incorrecta en el grupo de opciones."
"Wrong option type to get group instance.","Tipo de opción incorrecto en el grupo de opciones."
"Wrong product instance type in options group.","Tipo de instancia de artículo no válido en el grupo de opciones."
"Wrong product type filter specified","Se especificó un filtro de tipo de artículo incorrecto"
"Wrong product type to extract configurable options.","Tipo de artículo incorrecto para extraer opciones configurables."
"Year Range","Rango de años"
"Yes","Sí"
"You cannot remove system attribute from this set.","No es posible eliminar atributos del sistema de este conjunto."
"You have no items to compare.","No tiene artículos para comparar."
"You may also be interested in the following product(s)","Te podría(n) interesar también el/los siguiente(s) artículo(s)"
"Zoom In","Aumentar"
"Zoom Out","Alejar"
"and","y"
"and above","y por encima"
"categories","Categorías"
"comma separated","Separadas por comas"
"each","cada uno"
"ex. http://domain.com","por ejemplo, http://dominio.es"
"leave blank if its not an image","dejar en blanco, si no es una imagen"
"per page","por página"
"products","Artículos"
"px.","px."
"save","guardar"
"select all","seleccionar todo"
"unselect all","deseleccionar todo"
"x","x"
"=====================Mage_Customer","=====================Mage_Customer"
" or "," o "
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' parece ser un servidor DNS pero no puede extraer la parte TLD."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' parece ser un servidor DNS pero no puede hacer coincidir en TLD con la lista."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' parece ser un servidor DNS pero no puede hacer coincidir el esquema del servidor con el TLD '%tld%'."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' parece ser un servidor DNS pero contiene un guion en una posición inválida."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' parece ser un nombre de servidor DNS pero no se puede descifrar la notación del Punycode introducido"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' parece ser un nombre de red local, pero no se permiten nombres de redes locales."
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' parece ser una dirección IP, pero no se permiten direcciones IP."
"'%value%' does not appear to be a valid local network name","'%value%' no parece ser un nombre válido de una red local."
"* Required Fields","* Campos requeridos"
"ALL GROUPS","Todos grupos de clientes"
"Account Dashboard","INFORMACION DE LA CUENTA"
"Account Information","Cuenta Información"
"Account Sharing Options","Cuenta Opciones para compartir"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Es necesario confirmar la cuenta. Por favor, abra en su correo electrónico el enlace de confirmación. Para volver a enviar el correo electrónico de confirmación por favor, <a href=""%s"">pulse aquí</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Es necesario confirmar la cuenta. Por favor, abra en su correo electrónico el enlace de confirmación. Para volver a enviar el correo electrónico de confirmación por favor, <a href=""%s"">pulse aquí</a>."
"Action","Acción"
"Add New Address","Nueva dirección"
"Add New Customer","Nuevo cliente"
"Add New Customer Group","Nuevo grupo de clientes"
"Added From","Añadido de"
"Additional Address Entries","Agregar direcciones de envío"
"Address","Dirección postal"
"Address Book","Libreta de direcciones"
"Address Books","Libretas de direcciones"
"Address Information","Información de la dirección"
"Address Templates","Plantillas para direcciones"
"Addresses","Direcciones"
"Admin","Administrar"
"All","Todo"
"All Store Views","Todas las vistas de tienda"
"All countries","Todos los países"
"Always optional.","Siempre opcional"
"Amount","Importe"
"An error occurred while deleting the address.","Un error se ha producido al eliminar la dirección."
"An error occurred while retrieving the option value: %s.","Un error se ha producido al recuperar el valor de la opción: %s."
"An error occurred while saving the collection, aborting. Error: %s","Un error se ha producido al guardar la colección. Se anulará la operación. Error: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Se ha especificado una opción ID inválida para %s (%s), se omite el registro."
"Approved","Aprobado"
"Are you sure that you want to remove this item?","¿Realmente quiere quitar este artículo?"
"Are you sure you want to cancel adding of this address?","¿Realmente quiere cancelar el añadido de esta dirección?"
"Are you sure you want to delete this address?","¿Realmente quiere borrar esta dirección?"
"Are you sure?","¿Está seguro?"
"Array of Entity collections is expected.","Se esperaba una cadena de colecciones de entidad"
"Assign a Customer Group","Asignar un grupo de clientes"
"Average Sale","Venta promedio"
"Back","Regresar"
"Back - link to the previously viewed page","Atrás - Enlace a la página vista anteriormente"
"Back to Login","Volver al formulario de acceso"
"Bad request.","Solicitud incorrecta."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","En base al ID del IVA, el cliente pertenece al grupo de clientes %s."
"Bill to Name","Factura a nombre de"
"Bought From","Comprado de"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta con nuestra tienda podrá realizar el proceso de compra más rápidamente, manejar múltiples direcciones de envío, ver y seguir el rastro de sus pedidos y mucho más."
"CSV","CSV"
"Cancel","Cancelar"
"Can't save address.","No se puede guardar la dirección."
"Can't save the customer.","No se puede guardar el cliente."
"Cannot save a new password.","No se puede guardar la nueva contraseña."
"Cannot save address.","No se puede guardar la dirección."
"Cannot save the customer.","No se puede guardar el cliente."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","No se puede compartir las cuentas de los clientes globales. Debido a que algunas cuentas de clientes con la misma dirección de correo electrónico existentes en varios sitios web y no se pueden combinar."
"Change Account Password","Cambiar la contraseña de la cuenta"
"Change Billing Address","Cambiar la dirección de facturación"
"Change Password","Cambiar contraseña"
"Change Shipping Address","Cambiar la dirección de envío"
"City","Ciudad"
"Company","Empresa:"
"Config","Configuración"
"Configure","Configurar"
"Confirm New Password","Confirmar nueva contraseña"
"Confirm Password","Confirmar la contraseña"
"Confirmation Link Email","Enlace de confirmación para el correo electrónico"
"Confirmed","Confirmado"
"Contact Information","Información de contacto"
"Continue Shopping","Continuar comprando"
"Country","País"
"Create","Crear"
"Create New Account Options","Crear nuevas opciones para una cuenta"
"Create New Customer Account","Crear nueva cuenta de cliente"
"Create Order","Crear pedido"
"Create an Account","CREAR MI CUENTA"
"Create customer","Crear cliente"
"Create customer address","Crear dirección de cliente"
"Created From","Creado desde"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Crear una cuenta tiene muchos beneficios como: checkout más rápido, conservar más de una dirección, rastrear pedidos y más."
"Current Admin Password","Contraseña actual del administrador"
"Current Password","Contraseña actual"
"Customer","Cliente"
"Customer API","API del cliente"
"Customer Account Edit Form","Cuenta de cliente - Formulario de editar"
"Customer Account Login Form","Cuenta de cliente - Formulario de acceder"
"Customer Account Logout Success","Cuenta de cliente - Éxito de terminar la sesión"
"Customer Account Registration Form","Cuenta de cliente - Formulario de registrar"
"Customer Addresses","Direcciones del cliente"
"Customer Configuration","Configuración del cliente"
"Customer Forgot Password Form","Cliente - Formulario ""se ha olvidado su contraseña"""
"Customer Group","Grupo del cliente"
"Customer Group was successfully deleted","Grupo del cliente fue borado"
"Customer Group was successfully saved","Grupo del cliente fue guardado"
"Customer Groups","Grupos del cliente"
"Customer Information","Información del cliente"
"Customer Login","Acceso del cliente"
"Customer My Account (All Pages)","Cliente Mi cuenta (todas las páginas)"
"Customer My Account Address Book","Cliente Mi cuenta (libreta de direcciones)"
"Customer My Account Address Edit Form","Cliente Mi cuenta (formulario de editar direcciones)"
"Customer My Account Dashboard","Cliente Mi cuenta (panel de administración)"
"Customer Since","Cliente desde"
"Customer View","Vista de cliente"
"Customer collection expected.","Se esperaba colección de clientes."
"Customer email already exists","El correo electrónico del cliente ya existe."
"Customer email is required","Se requiere el correo electrónico del cliente."
"Customer email is required.","Se requiere el correo electrónico del cliente."
"Customer website ID must be specified when using the website scope","Debe especificarse la identificación de página web del cliente cuando se usa el campo de la página web."
"Customer website ID must be specified when using the website scope.","Debe especificarse la identificación de página web del cliente cuando se usa el campo de la página web."
"Customer will stay on the current page if ""No"" is selected.","El cliente permanecerá en la página actual si se elige «No»."
"Customers","Clientes"
"Customers Only","Sólo clientes"
"Customers Section","Sección de clientes"
"DD","DD"
"Date","Día"
"Date Added","Fecha añadida"
"Date Of Birth","Fecha de nacimiento"
"Date of Birth","Fecha de nacimiento"
"Date of Birth is required.","La fecha de nacimiento es necesario."
"Day","Día"
"Days in Wishlist","Días en la lista de deseos"
"Default Addresses","Dirección establecida"
"Default Billing Address","Dirección de facturación"
"Default Email Domain","Dominio de correo electrónico (predeterminado)"
"Default Group","Grupo (predeterminado)"
"Default Shipping Address","Dirección de envío seleccionada"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor para Disable Automatic Group Changes Based on VAT ID (predeterminado)"
"Default Welcome Email","Correo de bienvenida (predeterminado)"
"Delete","Borrar"
"Delete Address","Borrar dirección"
"Delete Customer","Borrar cliente"
"Delete Customer Group","Borrar grupo de clientes"
"Delete customer","Borrar cliente"
"Delete customer address","Borrar dirección del cliente"
"Deleted Stores","Tiendas borradas"
"Disabled","Deshabilitado"
"Edit","Editar"
"Edit Account Info","Editar información de la cuenta"
"Edit Account Information","Editar información de la cuenta"
"Edit Address","Editar dirección"
"Edit Address Entry","Editar entrada de la dirección"
"Edit Customer Group ""%s""","Editar grupo del cliente ""%s"""
"Edit Customer Groups","Editar grupos del cliente"
"Edit Customer's Address","Editar direcciones del cliente"
"Edit Group","Editar grupo"
"Edit Newsletter Subscription","Editar suscripción al boletín de noticias"
"Edit Newsletters","Editar boletines de noticias"
"Edit Personal Information","Editar información personal"
"Edit Address","Editar dirección"
"Email Address","Dirección de correo electrónico"
"Email Sender","Remitente de correo electrónico"
"Email:","Correo electrónico:"
"Enable Automatic Assignment to Customer Group","Habilitar la asignación automática al grupo de clientes"
"Entity collection is expected.","Se esperaba una colección de entidad."
"Excel XML","Excel XML"
"Ext. Price","Precio total (precio por unidad x cantidad)"
"Failed to confirm customer account.","Falló al confirmar la cuenta del cliente."
"Fax","Fax"
"First Name","Nombre"
"Forgot Email Template","Plantilla para recordatorio de correo electrónico"
"Forgot Password","Contraseña olvidado"
"Forgot Your Password","Olvidó su contraseña"
"Forgot Your Password?","¿Olvidó su contraseña?"
"Forgot and Remind Email Sender","Olvidar y recordar - Remitente del correo electrónico"
"Form Fields Before","Campos del formulario antes"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde el «panel de control» de su cuenta puede ver una instantánea de las actividades recientes en su cuenta y actualizar la información de su cuenta. Elija uno de los siguientes enlaces para ver o cambiar la información."
"Gender","Sexo"
"Gender is required.","Se requiere el sexo."
"General Subscription","Suscripción general"
"Generate Human-Friendly Customer ID","Generar ID de cliente amigable"
"Global","Global"
"Grand Total","Importe total"
"Group","Grupo"
"Group Information","Información del grupo"
"Group Name","Nombre del grupo"
"Group for Invalid VAT ID","Grupo para ID del IVA no válido"
"Group for Valid VAT ID - Domestic","Grupo para ID del IVA válido - Doméstico"
"Group for Valid VAT ID - Intra-Union","Grupo para ID del IVA válido - Intraunión"
"Guest","Visitante"
"HTML","HTML"
"Hello, %s!","¡Hola, %s!"
"ID","ID"
"IP Address","Dirección IP"
"If you have an account, sign in with your email address.","Si tiene una cuenta, inicie sesion con su correo electronico"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Si encontramos una cuenta asociado con %1, le enviaremos un correo electrónico con un enlance, con cual usted puede reiniciar Su contraseña."
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you billing address for proper VAT calculation","Si usted es un cliente registrado de IVA, por favor haga <a href=""%s"">clic aquí</a> para entrar una dirección de facturación para el cálculo correcto de IVA."
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation","Si usted es un cliente registrado de IVA, por favor haga <a href=""%s"">clic aquí</a> para entrar una dirección del envío para el cálculo correcto de IVA."
"If you believe this is an error, please contact us at %s","Si usted está convencido, que este es un error, por favor, contáctenos através de %s."
"If you have an account with us, please log in.","Si usted tiene una cuenta con nosotros, por favor acceda."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Se especificó una opción de atributo inválida para el atributo %s (%s). Se omitirá el registro."
"Invalid attribute set specified, skipping the record.","Se especificó un conjunto de atributos inválido. Se omitirá el registro."
"Invalid billing address for (%s)","Dirección de facturación es inválida para (%s)"
"Invalid current password","La contraseña actual es inválida"
"Invalid customer data","Los datos del cliente son inválidos"
"Invalid email address ""%s"".","La dirección de correo electrónico ""%s"" es inválida."
"Invalid email address.","La dirección de correo electrónico es inválida."
"Invalid login or password.","Usuario o contraseña inválidos."
"Invalid option id specified for %s (%s), skipping the record.","Opción id especificada para %s (%s) invádido. Se omitirá el registro."
"Invalid password reset token.","La contraseña no es correcta, reinicie el token."
"Invalid shipping address for (%s)","La dirección de envío es inválida para (%s)"
"Invalid store specified, skipping the record.","Se especificó una tienda no válida. Se omitirá el registro."
"Invalid website, skipping the record, line: %s","Sitio web inválido, se omite el registro, línea: %s"
"JavaScript Template","Plantilla JavaScript"
"Last Activity","Última actividad"
"Last Date Subscribed","Última fecha de suscripción"
"Last Date Unsubscribed","Última fecha de desuscripción"
"Last Name","Apellidos"
"Last URL","Última URL"
"Last date subscribed","Última fecha de suscripción"
"Last date unsubscribed","Última fecha de desuscripción"
"Leave empty for default (15 minutes).","Dejar en blanco para tomar el valor por defecto (15 minutos)."
"Leave empty for default (2). Valid range: 1-4","Dejar en blanco por defecto (2). Rango válido: 1-4"
"Lifetime Sales","Ventas acumuladas"
"Log In","Iniciar sesión"
"Log Out","Cerrar sesión"
"Login","Iniciar sesión"
"Login Information","Información de acceso"
"Login Options","Opciones para el acceso"
"Login and password are required.","Se requiere identificador y contraseña."
"Login or Create an Account","Identificarse o crear una cuenta"
"MM","MM"
"Manage Addresses","Editar direcciones"
"Manage Customers","Gestionar clientes"
"Maximum length must be less then %s symbols","Longitud máxima debe ser menor de %s símbolos."
"Middle Name","Segundo nombre"
"Missing email, skipping the record, line: %s","Correo electrónico perdido, se omite el registro en línea %s."
"Missing email, skipping the record.","Correo electrónico perdido, se omite el registro."
"Missing first name, skipping the record, line: %s","Nombre perdido, se omite el registro."
"Missing firstname, skipping the record.","Nombre perdido, se omite el registro."
"Missing last name, skipping the record, line: %s","Apellido perdido, se omite el registro."
"Missing lastname, skipping the record.","Apellido perdido, se omite el registro."
"Missing website, skipping the record, line: %s","Sitio web perdido, se omite el registro en línea %s."
"Month","Mes"
"My Account","Mi cuenta"
"My Account Wrapper","Mi cuenta envoltorio"
"My Dashboard","MI CUENTA"
"My Orders","Mis ordenes"
"My Reviews","Mis reseñas"
"My Tags","Mis etiquetas"
"My Wishlist","Mi lista de compras"
"My Wish List","Mi lista de compras"
"Name","Nombre"
"Name and Address Options","Opciones de nombre y dirección"
"Never","Nunca"
"New Address","Nueva dirección"
"New Address Entry","Nueva anotación de dirección"
"New Customer","Nuevo cliente"
"New Customer Address","Nueva dirección del cliente"
"New Customer Group","Nuevo grupo de clientes"
"New Customer Groups","Nuevos grupos de clientes"
"New Customers","CLIENTES NUEVOS"
"New Group","Nuevo grupo"
"New Password","Nueva contraseña"
"New account","Nueva cuenta"
"New account confirmation key","Nueva clave de confirmación de cuenta"
"New account confirmed","Nueva cuenta confirmada"
"New password field cannot be empty.","El campo de nueva contraseña no se puede dejar en blanco."
"Newsletter","Noticias"
"Newsletter Finish","Fin del boletín informativo"
"Newsletter Information","Información del boletín informativo"
"Newsletter Received","Boletín informativo recibido"
"Newsletter Start","Inicio del boletín informativo"
"Newsletter Subscription","Suscripción al boletín informativo"
"Newsletters","Boletines informativos"
"No Items Found","No se encontraron artículos"
"No Newsletter Found","No se encontraron boletines informativos"
"No customer collections found","No se encontraron colecciones de clientes."
"No item specified.","No objeto especificado."
"Not Sent","No enviado"
"Not confirmed, can login","Sin confirmar. Puede iniciar sesión"
"Not confirmed, cannot login","Sin confirmar. No puede iniciar sesión"
"Number of Lines in a Street Address ","Cantidad de líneas de la dirección"
"Offline","Desconectado"
"Online","Conectado"
"Online Customers","Clientes conectados"
"Online Customers Options","Opciones para clientes conectados"
"Online Minutes Interval","Intervalo de minutos con conexión"
"Order #","Pedido nº"
"Order Total","Total de la Compra:"
"Orders","Pedidos"
"PDF","PDF"
"Password","Contraseña"
"Password Management","Gestionar contraseñas"
"Password Options","Opciones de contraseña"
"Password fields cannot be empty.","Rellene el campo contraseña."
"Password forgotten","Recordatorio de contraseña"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","La contraseña debe tener 6 carácteres como mínimo. Los espacios en blanco serán ignorados."
"Password:","Contraseña:"
"Paused","Detenido"
"Pending","Pendiente"
"Per Website","Por sitio web"
"Personal Information","Información personal"
"Please enter a number 1 or greater in this field.","Por favor, introduzca número 1 o mayor en este campo."
"Please enter a valid date between %s and %s at %s.","Por favor, introduzca una fecha válida entre %s y %s en %s."
"Please enter a valid date equal to or greater than %s at %s.","Por favor, introduzca una fecha válida igual o mayor que %s en %s."
"Please enter a valid date less than or equal to %s at %s.","Por favor, introduzca una fecha válida menor o igual que %s en %s."
"Please enter the city.","Por favor, introduzca la ciudad."
"Please enter the country.","Por favor, introduzca el país."
"Please enter the first name.","Por favor, introduzca el nombre."
"Please enter the last name.","Por favor, introduzca el apellido."
"Please enter the state/province.","Por favor, introduzca el estado/provincia."
"Please enter the street.","Por favor, introduzca la calle."
"Please enter the telephone number.","Por favor, introduzca el número de teléfono."
"Please enter the zip/postal code.","Por favor, introduzca el código postal."
"Please enter your email address below. You will receive a link to reset your password.","Por favor, introduzca su correo electrónico. Recibirá un enlace para restablecer su contraseña."
"Please enter your email below and we\'ll send you confirmation link for it.","Por favor, introduzca su dirección de correo electrónico y le enviaremos un enlace de confirmación."
"Please enter your email.","Por favor, introduzca su dirección de correo electrónico."
"Please enter your email address below to receive a password reset link.","Por favor, introduzca su correo electrónico. Recibirá un enlace para restablecer su contraseña."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"Please select","Por favor, seleccione"
"Please select a website which contains store view","Por favor, seleccione un sitio web, que contiene una vista de tienda."
"Please select region, state or province","Por favor, seleccione una región, estado o provincia"
